"mfund_ticker", "cik"
"VTSMX", "0000036405"
"VFINX", "0000036405"
"SPY", "0000884394"
"VINIX", "0000862084"
"VWNFX", "0000107606"
"FUSEX", "0000819118"
"VIVAX", "0000036405"
"MEIAX", "0000798244"
"FKINX", "0000038721"
"VWELX", "0000105563"
"VWINX", "0000105544"
"VEIPX", "0000826473"
"TRVLX", "0000927845"
