"position", "ticker", "name", "family", "num_searches"
387, "TRRAX", "T. Rowe Price Retirement 2010", "T. Rowe Price", 720
387, "TRRNX", "T. Rowe Price Retirement 2055", "T. Rowe Price", 720
387, "TWEIX", "American Century Equity Income Inv", "American Century Investments", 720
387, "USATX", "USAA Tax Exempt Intermediate-Term", "USAA", 720
387, "USAUX", "USAA Aggressive Growth", "USAA", 720
387, "USBSX", "USAA Cornerstone Moderate", "USAA", 720
387, "USIBX", "USAA Intermediate-Term Bond", "USAA", 720
387, "VBIIX", "Vanguard Interm-Term Bond Index Inv", "Vanguard", 720
387, "VBMPX", "Vanguard Total Bond Market Idx InstlPls", "Vanguard", 720
387, "VCAIX", "Vanguard CA Interm-Term Tax-Exempt Inv", "Vanguard", 720
387, "VCVLX", "Vanguard Capital Value Inv", "Vanguard", 720
387, "VDAIX", "Vanguard Dividend Appreciation Idx Inv", "Vanguard", 720
387, "VIFSX", "Vanguard 500 Index Signal", "Vanguard", 720
387, "VIGIX", "Vanguard Growth Index I", "Vanguard", 720
387, "VITPX", "Vanguard Instl Ttl Stk Mkt Idx InstlPls", "Vanguard", 720
387, "VMCPX", "Vanguard Mid Cap Index InstlPlus", "Vanguard", 720
387, "VMLUX", "Vanguard Ltd-Term Tx-Ex Adm", "Vanguard", 720
387, "VMRGX", "Vanguard Morgan Growth Inv", "Vanguard", 720
387, "VTABX", "Vanguard Total Intl Bd Idx Admiral", "Vanguard", 720
387, "VTMSX", "Vanguard Tax-Managed Small Cap Adm", "Vanguard", 720
387, "VTSNX", "Vanguard Total Intl Stock Index I", "Vanguard", 720
387, "VVIAX", "Vanguard Value Index Adm", "Vanguard", 720
387, "VWALX", "Vanguard High-Yield Tax-Exempt Adm", "Vanguard", 720
387, "VWNEX", "Vanguard Windsor Admiral", "Vanguard", 720
